taxon;lon;lat
"Ocotea catharinensis Mez";-49.1947222;-27.0927777
"Ocotea catharinensis Mez";-49.0108333;-25.3886111
"Ocotea catharinensis Mez";-43.4794445;-22.5725
"Ocotea catharinensis Mez";-50.9980555;-29.7866666
"Ocotea catharinensis Mez";-48.9658333;-25.8683334
"Ocotea catharinensis Mez";-40.5383333;-19.9747223
"Ocotea catharinensis Mez";-43.4213889;-22.5813889
"Ocotea catharinensis Mez";-50.1294445;-26.9994444
"Ocotea catharinensis Mez";-49.5016667;-27.36
"Ocotea catharinensis Mez";-49.5016667;-27.36
"Ocotea catharinensis Mez";-49.0477777;-26.1925
"Ocotea catharinensis Mez";-49.4977777;-26.9097222
"Ocotea catharinensis Mez";-49.5002778;-26.9102778
"Ocotea catharinensis Mez";-48.8694445;-25.5977777
"Ocotea catharinensis Mez";-42.9991666;-22.4563889
